shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
133289,-122.493853,37.735033,167,14470
133289,-122.493968,37.736567,168,14641
133289,-122.494049,37.736639,169,14652
133289,-122.494176,37.738495,170,14859
133289,-122.494303,37.740359,171,15067
133289,-122.494442,37.742224,172,15275
133289,-122.494569,37.744098,173,15484
133289,-122.494696,37.745954,174,15691
133289,-122.494835,37.747818,175,15899
133289,-122.494962,37.749683,176,16107
133289,-122.495089,37.751548,177,16315
133289,-122.495216,37.753413,178,16523
133289,-122.495355,37.755278,179,16731
133289,-122.495482,37.757142,180,16939
133289,-122.495609,37.759007,181,17147
133289,-122.495748,37.760881,182,17356
133289,-122.495875,37.762737,183,17563
133289,-122.495738,37.762844,184,17580
133289,-122.495383,37.763397,185,17649
133289,-122.495464,37.764637,186,17787
133289,-122.494398,37.764691,187,17881
133289,-122.493321,37.764736,188,17976
133289,-122.492255,37.764781,189,18070
133289,-122.491178,37.764835,190,18165
133289,-122.490112,37.76488,191,18259
133289,-122.489035,37.764934,192,18354
133289,-122.487958,37.76497,193,18449
133289,-122.486892,37.765024,194,18543
133289,-122.485826,37.765069,195,18637
133289,-122.484749,37.765123,196,18732
133289,-122.483683,37.765159,197,18826
133289,-122.482606,37.765213,198,18921
133289,-122.481529,37.765266,199,19016
133289,-122.480463,37.765311,200,19110
133289,-122.479386,37.765356,201,19205
133289,-122.47832,37.765401,202,19299
133289,-122.4773,37.765455,203,19389
133289,-122.477358,37.766062,204,19457
133289,-122.477381,37.766204,205,19473
133289,-122.477415,37.766338,206,19488
133289,-122.477461,37.766436,207,19500
133289,-122.477553,37.766633,208,19523
133289,-122.47784,37.767034,209,19574
133289,-122.477943,37.767186,210,19593
133289,-122.478046,37.767373,211,19616
133289,-122.478161,37.767623,212,19646
133289,-122.478241,37.767908,213,19678
133289,-122.478299,37.768301,214,19722
133289,-122.478333,37.768631,215,19759
133289,-122.478356,37.768917,216,19791
133289,-122.478437,37.769256,217,19829
133289,-122.478528,37.769497,218,19857
133289,-122.478632,37.769711,219,19883
133289,-122.478884,37.770175,220,19939
133289,-122.479148,37.770647,221,19996
133289,-122.479377,37.771031,222,20043
133289,-122.479503,37.771263,223,20071
133289,-122.479618,37.771334,224,20084
133289,-122.479801,37.771468,225,20106
133289,-122.479904,37.771531,226,20117
133289,-122.480031,37.771593,227,20130
133289,-122.480271,37.771691,228,20154
133289,-122.480397,37.771727,229,20166
133289,-122.480512,37.771753,230,20177
133289,-122.480627,37.771771,231,20187
133289,-122.480753,37.771789,232,20198
133289,-122.481566,37.771869,233,20270
133289,-122.481784,37.771878,234,20289
133289,-122.481979,37.771896,235,20306
133289,-122.482426,37.77194,236,20346
133289,-122.482575,37.77194,237,20359
133289,-122.483549,37.771922,238,20445
133289,-122.483652,37.77194,239,20454
133289,-122.483824,37.771993,240,20470
133289,-122.483985,37.772092,241,20488
133289,-122.484088,37.772208,242,20504
133289,-122.484157,37.772332,243,20519
133289,-122.48418,37.772484,244,20536
133289,-122.484191,37.772564,245,20545
133289,-122.484318,37.774429,246,20753
133289,-122.484457,37.776294,247,20961
133289,-122.484584,37.778159,248,21169
133289,-122.484722,37.780086,249,21384
133289,-122.484596,37.780238,250,21404
133289,-122.484712,37.781897,251,21589
133289,-122.484874,37.782025,252,21609
133289,-122.484746,37.782174,253,21629
133289,-122.484873,37.783798,254,21810
133289,-122.485011,37.783882,255,21825
133289,-122.484896,37.784003,256,21842
133289,-122.485034,37.78568,257,22029
133289,-122.485148,37.785746,258,22041
133289,-122.485046,37.785859,259,22056
133289,-122.485173,37.787536,260,22243
133289,-122.485284,37.787612,261,22256
133289,-122.485093,37.787581,262,22273
133289,-122.484164,37.787608,263,22355
133289,-122.483167,37.787894,264,22448
133289,-122.482743,37.788179,265,22497
133289,-122.482331,37.788572,266,22554
133289,-122.481884,37.789393,267,22653
133289,-122.48154,37.790517,268,22782
133289,-122.480957,37.792275,269,22984
133289,-122.48101,37.792351,270,22994
133289,-122.481111,37.7922,271,23013
