deadline,successRatio,storageScore,nbReqTot,nbReqSucc,nbReqFail,nbFiles
60.0,0.12459016393442623,2.4545454545454546,306,38,267,11
120.0,0.18947368421052632,1.8421052631578947,286,54,231,19
240.0,0.29310344827586204,2.0357142857142856,291,85,205,28
600.0,0.48638132295719844,2.676470588235294,258,125,132,34
1200.0,0.6877470355731226,1.71875,254,174,79,64
2400.0,0.8581818181818182,2.6875,275,236,39,64
3600.0,0.9109311740890689,2.5714285714285716,247,225,22,63
7200.0,1.0,2.5,182,182,0,52
