1,60.0,0.02696188340807175,0.0,17930,481,17359,345,136,136,0.0,0.0,0.9971014492753624,-1
2,60.0,0.047075684912628854,0.20442930153321975,18222,854,17287,587,267,265,0.0,0.0,0.7921635434412265,-1
3,60.0,0.08130302371111595,0.38808837656099904,18483,1495,16893,1041,454,453,0.0,0.0,0.6080691642651297,-1
4,60.0,0.1172939649578196,0.47475409836065574,18583,2169,16323,1525,644,643,0.0,0.0,0.5219672131147541,-1
5,60.0,0.11005240590757503,0.5252454417952315,18990,2079,16812,1426,653,650,0.0,0.0,0.4691444600280505,-1
10,60.0,0.2688385846844091,0.7097639484978541,19676,5273,14341,3728,1545,1540,0.0,0.0,0.2862124463519313,-1
15,60.0,0.3864755285259195,0.7967943009795192,20770,8007,12711,5615,2392,2389,0.0,0.0,0.2,-1
20,60.0,0.5182783832252724,0.8436858316221766,21757,11271,10476,7792,3479,3469,0.0,0.0,0.15374743326488707,-1
25,60.0,0.6479419101924447,0.8765882005318625,22462,14545,7903,10153,4392,4384,0.0,0.0,0.12065399389343051,-1
40,60.0,0.876915727877075,0.9126685684647303,25115,22029,3092,15424,6605,6594,0.0,0.0,0.0858402489626556,-1
45,60.0,0.884354002687656,0.9202351485148514,26016,23033,3012,16160,6873,6861,0.0,0.0,0.0771039603960396,-1
50,60.0,0.8983493253924488,0.9209840810419682,27198,24436,2765,17275,7161,7152,0.0,0.0,0.07936324167872648,-1
75,60.0,0.930727220465651,0.9448749386954389,31278,29142,2169,20390,8752,8731,0.0,0.0,0.05679254536537518,-1
100,60.0,0.9996668794936568,0.9658581126682282,36013,36011,12,25189,10822,10810,0.0,0.0,0.037556076064948984,-1
125,60.0,0.9997270065022088,0.9724806476812726,40272,40283,11,28162,12121,12101,0.0,0.0,0.03156736027270791,-1
150,60.0,0.9996419700597462,0.9799072148456247,44653,44673,16,31255,13418,13376,0.0,0.0,0.025787873940169573,-1
1,120.0,0.04526566568784974,0.0,18238,817,17232,572,245,245,0.0,0.0,1.0,-1
2,120.0,0.09592815031131192,0.24078624078624078,18356,1741,16408,1221,520,519,0.0,0.0,0.7567567567567568,-1
3,120.0,0.1096161238947773,0.36830520909757886,18382,1996,16213,1363,633,630,0.0,0.0,0.6280264123257521,-1
4,120.0,0.15865384615384615,0.4750617283950617,18695,2937,15575,2025,912,911,0.0,0.0,0.5224691358024691,-1
5,120.0,0.17772676311996155,0.5350128095644748,18924,3329,15402,2342,987,984,0.0,0.0,0.46114432109308284,-1
10,120.0,0.3851131037293662,0.7266514806378133,19753,7559,12069,5268,2291,2288,0.0,0.0,0.27031131359149585,-1
15,120.0,0.5483729753392674,0.804108025865348,20647,11274,9285,7887,3387,3383,0.0,0.0,0.19335615569925194,-1
20,120.0,0.6635653840759269,0.8355448331322879,21483,14193,7196,9948,4245,4241,0.0,0.0,0.16324889425010053,-1
25,120.0,0.756857855361596,0.8719758064516129,22534,16996,5460,11904,5092,5088,0.0,0.0,0.1275201612903226,-1
40,120.0,0.9727029578351164,0.9120872810795292,25470,24730,694,17415,7315,7312,0.0,0.0,0.08894631065173701,-1
45,120.0,0.9756389006668466,0.919098966860498,25984,25311,632,17713,7598,7598,0.0,0.0,0.08174786879692882,-1
50,120.0,0.9744770962588699,0.9214927812585126,26955,26230,687,18355,7875,7869,0.0,0.0,0.08014165077635521,-1
75,120.0,0.9888468687904621,0.9495946258976141,31223,30854,348,21585,9269,9268,0.0,0.0,0.05290711141996757,-1
100,120.0,0.9999719840869614,0.9654328908850303,35690,35693,1,24937,10756,10748,0.0,0.0,0.03789549665156194,-1
125,120.0,0.9999508647798742,0.9725410124621559,40692,40702,2,28406,12296,12280,0.0,0.0,0.03214109695134831,-1
150,120.0,0.9999555298616979,0.9789660415610745,44957,44972,2,31568,13404,13382,0.0,0.0,0.02556386213887481,-1
1,200.0,0.06652771518702118,0.0,18100,1181,16571,811,370,368,0.0,0.0,0.9950678175092479,-1
2,200.0,0.11154957759004001,0.21958041958041957,18320,2007,15985,1430,577,576,0.0,0.0,0.7762237762237763,-1
3,200.0,0.18033596837944665,0.3598110777157578,18496,3285,14931,2329,956,952,0.0,0.0,0.6337483898668956,-1
4,200.0,0.19408401143611173,0.4600405679513185,18483,3530,14658,2465,1065,1063,0.0,0.0,0.5354969574036511,-1
5,200.0,0.2254682466007754,0.5313257182416061,18643,4129,14184,2889,1240,1238,0.0,0.0,0.46659743856005537,-1
10,200.0,0.46200092492677663,0.7103885804916733,19672,8991,10470,6305,2686,2678,0.0,0.0,0.28643933386201426,-1
15,200.0,0.6371982318939137,0.7957128937966872,20765,13118,7469,9237,3881,3879,0.0,0.0,0.20331276388437805,-1
20,200.0,0.8064127513668798,0.8411865934606244,21724,17404,4178,12203,5201,5193,0.0,0.0,0.1577480947308039,-1
25,200.0,0.8862110905896662,0.8683690641691666,22296,19673,2526,13667,6006,6003,0.0,0.0,0.1316309358308334,-1
40,200.0,0.9950467364384438,0.9135546334716459,25095,24910,124,17352,7558,7558,0.0,0.0,0.08754034117104656,-1
45,200.0,0.9961004702374125,0.9172685489166119,26185,26055,102,18276,7779,7775,0.0,0.0,0.08393521558327861,-1
50,200.0,0.9962475850795066,0.9257655924322591,26951,26815,101,18711,8104,8100,0.0,0.0,0.07631874298540965,-1
75,200.0,0.998381414833857,0.9482625482625483,31538,31458,51,22015,9443,9439,0.0,0.0,0.054326595503066094,-1
100,200.0,1.0,0.9657254839225724,35636,35641,0,25004,10637,10627,0.0,0.0,0.03815389537673972,-1
