nbFacilities, deadline, successRatio, storage score, total requests, success requests, fail requests, total files, fetch counter, total storage score
140,120.0,0.9385203195554012,1.123622503935703,43330,40530,2655,24138,27122,27122
150,120.0,0.9572148214485615,1.1214687061027002,44805,42754,1911,25628,28741,28741
1,200.0,0.0404568984920099,0.0,18115,719,17053,434,0,0
2,200.0,0.0690489589195273,0.25686813186813184,18121,1227,16543,728,187,187
3,200.0,0.1511795326171226,0.44110275689223055,18361,2730,15328,1596,704,704
4,200.0,0.20025085891912528,0.543633125556545,18640,3672,14665,2246,1221,1221
5,200.0,0.2034655330140451,0.6245551601423488,18872,3781,14802,2248,1404,1404
6,200.0,0.2493241051151725,0.7105855855855856,18788,4611,13883,2664,1893,1893
7,200.0,0.32432288900690387,0.7203389830508474,19135,6107,12723,3776,2720,2720
8,200.0,0.32919287488767907,0.7887246852764094,19194,6228,12691,3654,2882,2882
9,200.0,0.34812233433891604,0.775380088278568,19497,6693,12533,4078,3162,3162
10,200.0,0.3890985111156435,0.800593975392448,19893,7631,11981,4714,3774,3774
11,200.0,0.4325473130249975,0.8436538461538462,20037,8548,11214,5200,4387,4387
12,200.0,0.43709923664122136,0.8862122992557775,19920,8589,11061,5106,4525,4525
13,200.0,0.47090729783037477,0.9512595837897043,20534,9550,10730,5478,5211,5211
14,200.0,0.5356432690395705,0.9150215916101172,20354,10775,9341,6484,5933,5933
15,200.0,0.5506843880182504,0.9297346200241254,20427,11104,9060,6632,6166,6166
16,200.0,0.5410869249042517,0.9589813967673071,20876,11161,9466,6558,6289,6289
17,200.0,0.6184380224504419,0.9562919030428055,21148,12947,7988,7756,7417,7417
18,200.0,0.6089887640449438,0.9471555323590815,21151,12737,8178,7664,7259,7259
19,200.0,0.6708507010231148,1.0070217917675546,21355,14163,6949,8260,8318,8318
20,200.0,0.6672771672771672,0.9802880075542965,21532,14209,7085,8472,8305,8305
25,200.0,0.7972725240330875,1.02437641723356,22569,17831,4534,10584,10842,10842
40,200.0,0.6477084928856464,0.9515503875968992,25096,16069,8740,9804,9329,9329
50,200.0,0.6231000780408041,0.9506197127680504,27191,16767,10142,10166,9664,9664
100,200.0,0.922442799461642,1.07495,35912,32898,2766,20000,21499,21499
30,200.0,0.863877708315492,1.0389771598808342,23553,20175,3179,12084,12555,12555
35,200.0,0.9315502228888055,1.094208435207824,24183,22360,1643,13088,14321,14321
45,200.0,0.5744927536231884,0.9571012544802867,26126,14865,11010,8928,8545,8545
60,200.0,0.7397178130511464,1.0021486551010663,28633,20971,7379,12566,12593,12593
70,200.0,0.7845660227573432,1.0314228968648036,30490,23719,6513,14098,14541,14541
80,200.0,0.8730326265793313,1.0197723539075334,32434,28123,4090,17044,17381,17381
90,200.0,0.8996174490673468,1.0690561395660927,33987,30336,3385,17884,19119,19119
110,200.0,0.95012941270646,1.0772676888970996,37700,35608,1869,21652,23325,23325
