100,1,240.0,0.022808369150920445,0.0,49741,1125,48199,1010,115,115,0.0,0.0,0.996039603960396,2500,0.0
100,2,240.0,0.06658811978399608,0.09078947368421053,51298,3391,47534,3040,351,351,0.0,0.0,0.9069078947368421,1250,0.0
100,4,240.0,0.17189482519666596,0.18757104964001517,51587,8806,42423,7917,889,887,0.05087440381558029,0.0034103827207275484,0.8064923582164961,625,0.0
100,5,240.0,0.10497044859994187,0.2891964470150795,51996,5417,46188,4841,576,574,0.0,0.0,0.7085312951869448,500,0.0
100,10,240.0,0.2812448542730117,0.5895101863892501,54989,15372,39285,13842,1530,1529,0.12587822014051522,0.05577228724172807,0.3516832827626066,250,0.0
100,20,240.0,0.59223676033391,0.6683967160517128,59720,35260,24277,31791,3469,3467,0.2701928530913216,0.21959045012739453,0.11106917051995847,125,0.0
100,25,240.0,0.5783437855871173,0.6730343300110742,62513,36058,26289,32508,3550,3544,0.27636030839203507,0.2235142118863049,0.10194413682785776,100,0.0
100,50,240.0,0.7888429752066116,0.5822613405551794,75127,59179,15841,53172,6007,5989,0.42721235573429767,0.3847513729030317,0.03659820958399158,50,0.0
100,100,240.0,0.9393293877674058,0.4861633274639509,99601,93483,6038,84052,9431,9404,0.5418846207331814,0.5078046923333175,0.012468471898348642,25,0.0
100,125,240.0,0.9923341663183545,0.4530413722304725,112502,111585,862,100333,11252,11236,0.5754268046780481,0.5439785514237588,0.00861132429011392,20,0.0
100,250,240.0,0.9997943938043999,0.3478410131217577,175035,175056,36,157296,17760,17686,0.6836155287450872,0.6590631675312786,0.0024094700437391923,10,0.0
100,500,240.0,1.0,0.25371127088398077,300376,300578,0,270662,29916,29703,0.7766802626938765,0.7596300921444459,7.019825464971071E-4,5,0.0
100,625,240.0,1.0,0.22637411320243903,361445,361745,0,325046,36699,36399,0.8060622814413468,0.7910511127655778,4.060963678986974E-4,4,0.0
100,1250,240.0,1.0,0.15758458148183527,675153,676262,0,607166,69096,67983,0.8809218912196752,0.8723347486519337,8.070280615185962E-5,2,0.0
