40,500.0,0.8965089278565137,2.0232696897374702,25330,22393,2585,15689,6704,6688,0.0,0.0
45,500.0,0.9301291470110586,2.08766323978883,26144,24055,1807,16857,7198,7184,0.0,0.0
50,500.0,0.9719567077026072,2.1325331971399386,27056,26133,754,18301,7832,7822,0.0,0.0
75,500.0,0.9834151942335906,2.166612781549736,31567,30834,520,21555,9279,9269,0.0,0.0
100,500.0,0.9993555256668908,2.232171230956164,35836,35665,23,24966,10699,10693,0.0,0.0
125,500.0,0.9990876587350511,2.218954248366013,40615,40518,37,28278,12240,12214,0.0,0.0
150,500.0,0.9997997686215182,2.2499445225238555,44970,44939,9,31420,13519,13475,0.0,0.0
1,1000.0,0.26088815588540715,0.0,17834,4271,12100,2935,1336,1335,0.0,0.0
2,1000.0,0.2647494811740291,0.29923076923076924,18420,4465,12400,3165,1300,1300,0.0,0.0
3,1000.0,0.42601466428035334,0.8103677447939743,18584,7379,9942,5122,2257,2255,0.0,0.0
4,1000.0,0.3307932109456183,0.870475113122172,18742,5730,11592,3962,1768,1765,0.0,0.0
5,1000.0,0.5191503784883064,1.0607776519441299,18996,9190,8512,6541,2649,2647,0.0,0.0
10,1000.0,0.8010795364343547,1.4856762158560959,19710,15138,3759,10635,4503,4500,0.0,0.0
15,1000.0,0.9006018054162488,1.7311081942621414,20644,17958,1982,12625,5333,5327,0.0,0.0
20,1000.0,0.941645317392542,1.8247906197654942,21617,19848,1230,13878,5970,5969,0.0,0.0
25,1000.0,0.910658879357547,1.9301369863013698,22488,19958,1958,14118,5840,5831,0.0,0.0
40,1000.0,0.9883017345703913,1.9913770230830459,25364,24500,290,16962,7538,7533,0.0,0.0
45,1000.0,0.996506753609688,2.082706766917293,26036,25674,90,17960,7714,7709,0.0,0.0
50,1000.0,1.0,2.1113553113553114,27216,27034,0,18844,8190,8182,0.0,0.0
75,1000.0,0.9996804601374022,2.2098791831497917,31471,31285,10,21932,9353,9338,0.0,0.0
100,1000.0,1.0,2.211637772039838,35871,35772,0,24928,10844,10824,0.0,0.0
125,1000.0,0.9999259039715471,2.2461092715231787,40581,40485,3,28405,12080,12058,0.0,0.0
150,1000.0,1.0,2.272008355714712,44650,44631,0,31227,13404,13370,0.0,0.0
